Zi,Canal,Format,Subiect,Obiectiv,CTA,Fișier vizual
1,Instagram + Facebook,Postare,De ce există MINA,Awareness,Creează-ți contul,post-01-brand-intro-1080x1350.png
2,Stories,3 cadre,Drive + WhatsApp + liste,Interacțiune,Răspunde la sondaj,story script 01
3,Instagram + Facebook,Postare,Galeriile trebuie să respecte fotografiile,Poziționare,Vezi MINA,post-02-editorial-1080x1350.png
4,Instagram Reel + Facebook Reel,Video 15 secunde,Tur rapid produs,Activare,Încearcă gratuit,reel script 01
6,Instagram + Facebook,Postare,Produsul real,Considerare,Creează prima galerie,post-03-product-1080x1350.png
7,Stories,4 cadre,Behind the scenes fondator,Încredere,Trimite o întrebare,story script 02
9,Instagram + Facebook,Postare,Selecția clientului,Activare,Testează pe o galerie,post-04-client-selection-1080x1350.png
10,Instagram Reel + Facebook Reel,Video 20 secunde,De la selecție la Lightroom,Activare,Salvează demonstrația,reel script 02
12,Instagram + Facebook,Carousel,Un singur flux în loc de patru,Educare,Vezi cum funcționează,post-05-one-flow-1080x1350.png
14,Stories,FAQ,Parolă branding mobil,Obiecții,Cere un răspuns,story script 03
16,Instagram + Facebook,Postare,Plan gratuit 15 GB,Conversie,Începe gratuit,post-06-free-plan-1080x1350.png
18,Instagram Reel + Facebook Reel,Video 20 secunde,Clientul vede galeria pe telefon,Dovadă,Creează un cont,reel script 03
20,Instagram + Facebook,Postare,Preț Fondator,Conversie,Alege planul,post-07-founder-offer-1080x1350.png
22,Stories,Testimonial,Primul rezultat real,Dovadă socială,Vezi galeria,înlocuiește cu testimonial real
24,Instagram + Facebook,Postare,Fără haos la livrare,Poziționare,Încearcă MINA,post-08-no-chaos-1080x1350.png
26,Instagram Reel + Facebook Reel,Video 30 secunde,Povestea fondatorului,Încredere,Spune-mi ce lipsește,reel script 04
28,Instagram + Facebook,Postare,Invitație directă,Conversie,Creează prima galerie,post-09-launch-cta-1080x1350.png
30,Stories + Facebook,Recap + sondaj,Ce funcție contează cel mai mult,Research,Răspunde la sondaj,story script 04
